type;tablename;graphname;hpcg;gflops;iterations;rate;comment
;Baseline;Baseline;15.3654;15.7394;50;1:1;using mixed prec "all doubles" time
;Single Precision;Single Precision;7.02301;7.10126;115;1:2;
mixed;{\(\vec{d}\)};Mixed Precision - {\(\vec{d}\)};5.18476;5.22674;150;11:12;
mixed;{\(\vec{b}, \vec{x}\)};Mixed Precision - {\(\vec{b}, \vec{x}\)};15.3701;15.7503;50;5:6;
mixed;{\(\vec{b}, \vec{x}, \mat{A}\vec{d}\)};Mixed Precision - {\(\vec{b}, \vec{x}, \mat{A}\vec{d}\)};15.0428;15.4048;51;3:4;
mixed;{\(\vec{b}, \vec{x}, \vec{d}\)};Mixed Precision - {\(\vec{b}, \vec{x}, \vec{d}\)};5.20832;5.25084;150;3:4;using floats:b x d version
mixed;{\(\vec{b}, \vec{x}, \vec{d}, \mat{A}\vec{d}\)};Mixed Precision - {\(\vec{b}, \vec{x}, \vec{d}, \mat{A}\vec{d}\)};5.23208;5.27503;150;2:3;
mixed;{\(\vec{b}, \vec{x}, \vec{d}, \mat{A}\vec{d}, \vec{z}\)};Mixed Precision - {\(\vec{b}, \vec{x}, \vec{d}, \mat{A}\vec{d}, \vec{z}\)};6.95894;7.03599;115;7:12;
mixed;{\(\vec{b}, \vec{x}, \vec{d}, \vec{z}\)};Mixed Precision - {\(\vec{b}, \vec{x}, \vec{d}, \vec{z}\)};6.91343;6.98823;115;2:3;
mixed;{\(\vec{b}, \vec{x}, \vec{z}\)};Mixed Precision - {\(\vec{b}, \vec{x}, \vec{z}\)};12.2146;12.4516;64;3:4;
ZFP-1d;16 bits/value;ZFP - 1d - 16 bits;0.690138;0.690913;51;1:4;
ZFP-1d;32 bits/value;ZFP - 1d - 32 bits;0.39397;0.394225;50;1:2;
ZFP-3d;11 bits/value;ZFP - 3d - 11 bits;nan;nan;{\(\geq 500\)};11:64;
ZFP-3d;12 bits/value;ZFP - 3d - 12 bits;2.77671;2.78938;53;3:16;
ZFP-3d;14 bits/value;ZFP - 3d - 14 bits;2.79416;2.80692;51;7:32;
ZFP-3d;16 bits/value;ZFP - 3d - 16 bits;2.72078;2.73311;51;1:4;
ZFP-3d;24 bits/value;ZFP - 3d - 24 bits;2.48793;2.4982;50;3:8;
SZ;7 values/block;SZ - 7 values;5.89138;5.94758;57;8:7;
SZ;8 values/block;SZ - 8 values;5.78711;5.84115;57;1:1 to 2:1;
SZ;12 values/block;SZ - 12 values;4.98536;5.02568;57;2:3 to 4:3;
SZ;15 values/block;SZ - 15 values;4.51594;4.54898;57;8:15 to 16:15;
SZ;16 values/block;SZ - 16 values;4.53536;4.56868;57;1:2 to 3:2;
SZ;24 values/block;SZ - 24 values;3.67748;3.69907;57;1:3 to 4:3;
SZ;32 values/block;SZ - 32 values;3.1735;3.18973;57;1:4 to 5:4;